sample_rank,sample_basis,repo_id,repo_name,openrank_2607,stars,contributors,participants_2607,created_at,age_boundary,age_cohort,age_interpretation,llm_native_manual,llm_native_confidence,llm_native_reason,language,collaboration_niche,agent_proximity,study_section,niche_source,niche_review_note,current_landscape_selected,landscape_action,landscape_layer,landscape_section,license,archived,pushed_at,github_status
11,tracked_pool_top_100_by_openrank_2607,658928958,ollama/ollama,167.01,177103,451,152,2023-06-26,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Local model runtime and distribution workflow centered on LLM use.,Go,model_infra,supporting_infrastructure,Serving · Deploy,landscape,,yes,keep,Model Infra,Serving · Deploy,MIT,false,2026-07-28T00:29:20Z,ok
12,tracked_pool_top_100_by_openrank_2607,1027384981,langchain-ai/deepagents,159.3,26905,141,62,2025-07-27,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Agent harness built directly on LLM reasoning and tool use.,Python,agent_framework,agent_building,Code-first frameworks,study_manual_mapping,Agent package in the LangChain/LangGraph project family.,no,omit,,,MIT,false,2026-07-28T08:03:23Z,ok
13,tracked_pool_top_100_by_openrank_2607,975734319,anomalyco/opencode,157.72,190463,456,97,2025-04-30,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Coding agent whose product has no meaningful non-LLM mode.,TypeScript,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,MIT,false,2026-07-28T14:04:41Z,ok
14,tracked_pool_top_100_by_openrank_2607,669331976,flashinfer-ai/flashinfer,147.83,6053,365,119,2023-07-22,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Kernel library created for LLM inference and serving.,Python,model_infra,supporting_infrastructure,Pre-Train · Compiler & accelerator,landscape,,yes,keep,Model Infra,Pre-Train · Compiler & accelerator,Apache-2.0,false,2026-07-28T11:43:47Z,ok
15,tracked_pool_top_100_by_openrank_2607,679366051,NVIDIA/TensorRT-LLM,145.76,14235,422,77,2023-08-16,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Runtime and optimization stack explicitly scoped to LLM inference.,Python,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,keep,Model Infra,Serving · Inference,NOASSERTION,false,2026-07-28T14:46:01Z,ok
16,tracked_pool_top_100_by_openrank_2607,937253475,anthropics/claude-code,143.36,139392,53,167,2025-02-22,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Agentic coding tool built around Claude model capabilities.,Python,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,NOASSERTION,false,2026-07-25T01:35:55Z,ok
17,tracked_pool_top_100_by_openrank_2607,154739597,jax-ml/jax,121.48,36065,395,77,2018-10-25,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General numerical transformation and accelerator framework used far beyond LLMs.,Python,model_infra,supporting_infrastructure,Pre-Train · Framework & parallel,landscape,,yes,keep,Model Infra,Pre-Train · Framework & parallel,Apache-2.0,false,2026-07-28T14:54:26Z,ok
18,tracked_pool_top_100_by_openrank_2607,942206898,ai-dynamo/dynamo,115.92,7608,373,62,2025-03-03,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Distributed inference framework built for datacenter-scale generative model serving.,Rust,model_infra,supporting_infrastructure,Serving · Deploy,landscape,,yes,keep,Model Infra,Serving · Deploy,NOASSERTION,false,2026-07-28T14:53:13Z,ok
19,tracked_pool_top_100_by_openrank_2607,33884891,apache/airflow,98.32,46289,409,60,2015-04-13,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General workflow scheduler and data orchestration platform established before the LLM era.,Python,model_infra,supporting_infrastructure,Data · Integration,landscape,,yes,keep,Model Infra,Data · Integration,Apache-2.0,false,2026-07-28T14:52:48Z,ok
20,tracked_pool_top_100_by_openrank_2607,671269505,BerriAI/litellm,92.22,54916,375,121,2023-07-27,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Gateway and SDK whose core function is routing and governing LLM APIs.,Python,model_infra,supporting_infrastructure,Model API gateways,landscape,,yes,keep,Model Infra,Model API gateways,NOASSERTION,false,2026-07-28T14:52:15Z,ok
21,tracked_pool_top_100_by_openrank_2607,612354784,ggml-org/llama.cpp,90.46,121872,444,53,2023-03-10,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Inference runtime created around Llama-family and other language models.,C++,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,keep,Model Infra,Serving · Inference,MIT,false,2026-07-28T14:51:20Z,ok
22,tracked_pool_top_100_by_openrank_2607,193215554,n8n-io/n8n,82.05,198383,425,51,2019-06-22,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,high,Workflow automation platform predating LLMs that now treats agents and MCP as a substantial product surface.,TypeScript,agent_framework,agent_building,Workflow & agent builders,landscape,,yes,keep,Agent Infra,Workflow & agent builders,NOASSERTION,false,2026-07-28T14:55:13Z,ok
23,tracked_pool_top_100_by_openrank_2607,71932349,ray-project/ray,71.45,43374,410,42,2016-10-25,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General distributed computing runtime and ML libraries not dependent on LLM workloads.,Python,model_infra,supporting_infrastructure,Compute & scheduling,landscape,,yes,keep,Model Infra,Compute & scheduling,Apache-2.0,false,2026-07-28T13:22:01Z,ok
24,tracked_pool_top_100_by_openrank_2607,17165658,apache/spark,68.18,43716,330,44,2014-02-25,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General large-scale data processing engine with an independent pre-LLM ecosystem.,Scala,model_infra,supporting_infrastructure,Compute & scheduling,landscape,,yes,keep,Model Infra,Compute & scheduling,Apache-2.0,false,2026-07-28T14:52:26Z,ok
25,tracked_pool_top_100_by_openrank_2607,440752086,coder/coder,62.06,13970,263,32,2021-12-22,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,medium,Remote development environment platform now extending its established workspace model to agents.,Go,agent_runtime_infra,supporting_infrastructure,Development sandboxes,landscape,,yes,keep,Agent Infra,Development sandboxes,AGPL-3.0,false,2026-07-28T14:51:29Z,ok
26,tracked_pool_top_100_by_openrank_2607,644461337,vercel/ai,56.02,25859,470,72,2023-05-23,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,SDK created to build generative AI applications and agents.,TypeScript,agent_framework,agent_building,Code-first frameworks,landscape,,yes,keep,Agent Infra,Code-first frameworks,NOASSERTION,false,2026-07-28T14:34:02Z,ok
27,tracked_pool_top_100_by_openrank_2607,839037098,mastra-ai/mastra,54.41,26649,465,34,2024-08-06,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Framework created specifically for LLM applications agents and workflows.,TypeScript,agent_framework,agent_building,Multi-agent orchestration,landscape,,yes,keep,Agent Infra,Multi-agent orchestration,NOASSERTION,false,2026-07-28T14:57:31Z,ok
28,tracked_pool_top_100_by_openrank_2607,1054512829,vllm-project/vllm-omni,54.29,5719,352,30,2025-09-11,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Multimodal model serving framework derived from the LLM-native vLLM stack.,Python,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,add,Model Infra,Serving · Inference,Apache-2.0,false,2026-07-28T14:20:05Z,ok
29,tracked_pool_top_100_by_openrank_2607,1008713177,QwenLM/qwen-code,53.69,26393,417,38,2025-06-26,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Terminal coding agent designed around Qwen models and tool use.,TypeScript,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,Apache-2.0,false,2026-07-28T14:45:49Z,ok
30,tracked_pool_top_100_by_openrank_2607,626805178,langgenius/dify,53.65,150556,456,39,2023-04-12,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Platform created for LLM applications RAG and agentic workflows.,TypeScript,agent_framework,agent_building,Workflow & agent builders,landscape,,yes,keep,Agent Infra,Workflow & agent builders,NOASSERTION,false,2026-07-28T14:57:28Z,ok
31,tracked_pool_top_100_by_openrank_2607,384219990,warpdotdev/warp,53.23,63735,162,37,2021-07-08,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,high,Terminal product founded before the agent wave and subsequently repositioned as an agentic development environment.,Rust,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,AGPL-3.0,false,2026-07-28T14:56:54Z,ok
32,tracked_pool_top_100_by_openrank_2607,1170821064,paperclipai/paperclip,49.68,74970,195,98,2026-03-02,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Work management application created specifically for coordinating agents.,TypeScript,agent_framework,agent_building,Multi-agent orchestration,landscape,,yes,keep,Agent Infra,Multi-agent orchestration,MIT,false,2026-07-28T14:46:35Z,ok
33,tracked_pool_top_100_by_openrank_2607,924058625,vllm-project/vllm-ascend,48.15,2512,447,60,2025-01-29,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Hardware integration for the LLM-native vLLM serving stack.,C++,model_infra,supporting_infrastructure,Serving - Inference,study_manual_mapping,Hardware integration in the vLLM serving project family.,no,omit,,,Apache-2.0,false,2026-07-28T14:52:32Z,ok
34,tracked_pool_top_100_by_openrank_2607,391740664,open-metadata/OpenMetadata,47.49,14587,423,26,2021-08-01,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,high,Data catalog and governance platform whose established core is now also used as context infrastructure for agents.,TypeScript,model_infra,supporting_infrastructure,Data · Governance,landscape,,yes,keep,Model Infra,Data · Governance,Apache-2.0,false,2026-07-28T14:53:02Z,ok
35,tracked_pool_top_100_by_openrank_2607,156939672,microsoft/onnxruntime,46.91,21210,398,22,2018-11-10,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General cross-platform ML inference runtime that is not specific to language models.,C++,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,add,Model Infra,Serving · Inference,MIT,false,2026-07-28T09:33:09Z,ok
36,tracked_pool_top_100_by_openrank_2607,805155266,CherryHQ/cherry-studio,45.74,49083,406,17,2024-05-24,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,AI assistant and agent workspace built around access to foundation models.,TypeScript,agent_application,direct_agent_experience,Chatbot workspaces,landscape,,yes,keep,Agent Infra,Chatbot workspaces,AGPL-3.0,false,2026-07-28T14:57:32Z,ok
37,tracked_pool_top_100_by_openrank_2607,1153130349,pingdotgg/t3code,44.99,19678,309,28,2026-02-08,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Control surface created to operate local coding agents.,TypeScript,agent_application,direct_agent_experience,Coding workflows & harnesses,landscape,,yes,add,Agent Infra,Coding workflows & harnesses,MIT,false,2026-08-20T11:24:12Z,ok
38,tracked_pool_top_100_by_openrank_2607,208728772,milvus-io/milvus,44.93,45399,331,30,2019-09-16,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,Vector database founded before the LLM wave and useful for general similarity search.,Go,agent_runtime_infra,supporting_infrastructure,"Memory, knowledge & context",landscape,,yes,add,Agent Infra,"Memory, knowledge & context",Apache-2.0,false,2026-07-28T14:57:21Z,ok
39,tracked_pool_top_100_by_openrank_2607,1035029907,earendil-works/pi,43.89,79543,274,18,2025-08-09,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Toolkit and CLI created around an LLM agent loop.,TypeScript,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,MIT,false,2026-07-28T14:08:16Z,ok
40,tracked_pool_top_100_by_openrank_2607,90506918,NVIDIA/cudf,42.42,9711,303,24,2017-05-07,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General GPU dataframe library independent of LLM workloads.,C++,model_infra,supporting_infrastructure,Pre-Train · Compiler & accelerator,landscape,,no,remove,Model Infra,Pre-Train · Compiler & accelerator,Apache-2.0,false,2026-07-28T14:52:33Z,ok
41,tracked_pool_top_100_by_openrank_2607,23496542,triton-lang/triton,41.95,19803,407,14,2014-08-30,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General GPU programming language and compiler with a core value beyond LLM kernels.,MLIR,model_infra,supporting_infrastructure,Pre-Train · Compiler & accelerator,landscape,,yes,keep,Model Infra,Pre-Train · Compiler & accelerator,MIT,false,2026-07-28T12:38:17Z,ok
42,tracked_pool_top_100_by_openrank_2607,1156956890,zeroclaw-labs/zeroclaw,41.22,32421,397,21,2026-02-13,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Autonomous personal assistant infrastructure designed around LLM agents.,Rust,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,Apache-2.0,false,2026-07-28T12:00:15Z,ok
43,tracked_pool_top_100_by_openrank_2607,826168160,docling-project/docling,40.22,63893,286,14,2024-07-09,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,mixed,medium,Document conversion toolkit positioned for GenAI while retaining substantial non-LLM document parsing utility.,Python,model_infra,supporting_infrastructure,Data · Integration,landscape,,yes,add,Model Infra,Data · Integration,MIT,false,2026-07-28T14:51:27Z,ok
44,tracked_pool_top_100_by_openrank_2607,46398090,datahub-project/datahub,38.95,12365,410,23,2015-11-18,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,high,Metadata platform founded before the LLM wave and now expanded into context infrastructure for AI systems.,Python,model_infra,supporting_infrastructure,Data · Governance,landscape,,yes,keep,Model Infra,Data · Governance,Apache-2.0,false,2026-07-28T14:55:23Z,ok
45,tracked_pool_top_100_by_openrank_2607,643445235,lobehub/lobehub,38.07,80929,347,21,2023-05-21,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Agent operations workspace whose core purpose is organizing LLM agents.,TypeScript,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,NOASSERTION,false,2026-07-28T14:57:21Z,ok
46,tracked_pool_top_100_by_openrank_2607,575865240,AstrBotDevs/AstrBot,36.97,38235,343,13,2022-12-08,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,medium,Assistant framework centered on LLM-backed chat agents despite its early creation date.,Python,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,AGPL-3.0,false,2026-07-28T14:00:08Z,ok
47,tracked_pool_top_100_by_openrank_2607,1147094660,HKUDS/nanobot,36.96,46331,370,16,2026-02-01,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Personal agent framework built around LLM tools memory and workflows.,Python,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,MIT,false,2026-07-28T14:56:06Z,ok
48,tracked_pool_top_100_by_openrank_2607,790916393,NVIDIA/Model-Optimizer,36.92,3324,83,22,2024-04-23,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,mixed,medium,Model optimization library serves broad deep-learning models while adding LLM-specific deployment techniques.,Python,model_infra,supporting_infrastructure,Pre-Train · Compiler & accelerator,landscape,,yes,add,Model Infra,Pre-Train · Compiler & accelerator,Apache-2.0,false,2026-07-28T12:53:45Z,ok
49,tracked_pool_top_100_by_openrank_2607,824874689,cline/cline,36.82,65129,316,66,2024-07-06,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Autonomous coding agent created around LLM reasoning and tool execution.,TypeScript,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,Apache-2.0,false,2026-07-28T12:52:19Z,ok
50,tracked_pool_top_100_by_openrank_2607,1043426082,OpenHands/software-agent-sdk,36.33,938,112,10,2025-08-23,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,SDK created specifically for building software-development agents.,Python,agent_framework,agent_building,Code-first frameworks,study_manual_mapping,SDK split from the OpenHands project family.,no,omit,,,MIT,false,2026-07-28T13:22:40Z,ok
51,tracked_pool_top_100_by_openrank_2607,1165324947,agentscope-ai/QwenPaw,35.86,29630,228,20,2026-02-24,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Personal assistant harness designed around LLM tools and skills.,Python,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,Apache-2.0,false,2026-07-28T11:37:47Z,ok
52,tracked_pool_top_100_by_openrank_2607,949546994,NVIDIA-NeMo/RL,35.74,1946,152,26,2025-03-16,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Reinforcement-learning toolkit designed for post-training foundation and language models.,Python,model_infra,supporting_infrastructure,Post-Train · RL & environments,landscape,,yes,add,Model Infra,Post-Train · RL & environments,Apache-2.0,false,2026-08-23T15:11:25Z,ok
53,tracked_pool_top_100_by_openrank_2607,818331198,pydantic/pydantic-ai,35.72,18861,475,23,2024-06-21,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Framework created specifically for building LLM agents.,Python,agent_framework,agent_building,Code-first frameworks,landscape,,yes,keep,Agent Infra,Code-first frameworks,MIT,false,2026-07-28T14:48:16Z,ok
54,tracked_pool_top_100_by_openrank_2607,968197216,google-gemini/gemini-cli,35.41,106219,441,11,2025-04-17,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Terminal agent built directly on Gemini model capabilities.,TypeScript,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,Apache-2.0,false,2026-07-28T01:28:20Z,ok
55,tracked_pool_top_100_by_openrank_2607,158256479,apache/iceberg,34.89,9085,407,32,2018-11-19,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General table format and data-lake infrastructure independent of LLMs.,Java,model_infra,supporting_infrastructure,Data · Governance,landscape,,yes,keep,Model Infra,Data · Governance,Apache-2.0,false,2026-07-28T08:25:31Z,ok
56,tracked_pool_top_100_by_openrank_2607,730534580,infiniflow/ragflow,33.94,86252,461,26,2023-12-12,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,RAG and agent context engine whose core depends on language-model retrieval workflows.,Go,agent_runtime_infra,supporting_infrastructure,"Memory, knowledge & context",landscape,,yes,keep,Agent Infra,"Memory, knowledge & context",Apache-2.0,false,2026-07-28T13:36:05Z,ok
57,tracked_pool_top_100_by_openrank_2607,86031674,wandb/wandb,33.87,11209,228,8,2017-03-24,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General experiment tracking and model lifecycle platform established before LLM-specific features.,Python,model_infra,supporting_infrastructure,Pre-Train · Evaluation & observability,landscape,,yes,keep,Model Infra,Pre-Train · Evaluation & observability,MIT,false,2026-07-28T14:05:17Z,ok
58,tracked_pool_top_100_by_openrank_2607,488641606,agno-agi/agno,33.49,41850,443,24,2022-05-04,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,medium,Repository predates ChatGPT and evolved from a broader data toolkit into an agent platform.,Python,agent_framework,agent_building,Code-first frameworks,landscape,,yes,add,Agent Infra,Code-first frameworks,Apache-2.0,false,2026-08-23T15:16:42Z,ok
59,tracked_pool_top_100_by_openrank_2607,946087422,Kilo-Org/kilocode,33.37,26569,395,23,2025-03-10,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Agentic engineering product created around coding agents.,TypeScript,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,MIT,false,2026-07-28T14:18:00Z,ok
60,tracked_pool_top_100_by_openrank_2607,1063641074,a2ui-project/a2ui,33.04,15926,86,26,2025-09-24,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Protocol created for agents to generate and update user interfaces.,TypeScript,agent_runtime_infra,supporting_infrastructure,Protocols & interoperability,landscape,,yes,add,Agent Infra,Protocols & interoperability,Apache-2.0,false,2026-07-28T14:54:37Z,ok
61,tracked_pool_top_100_by_openrank_2607,1266212515,omnigent-ai/omnigent,32.65,8067,222,24,2026-06-11,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Meta-harness created to orchestrate and govern coding agents.,Python,agent_framework,agent_building,Multi-agent orchestration,study_manual_mapping,Agent harness and governance layer.,no,omit,,,Apache-2.0,false,2026-08-03T16:00:49Z,ok
62,tracked_pool_top_100_by_openrank_2607,573661753,activepieces/activepieces,32.54,23454,354,29,2022-12-03,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,mixed,high,Workflow automation product founded before ChatGPT that now includes agents and MCP as major capabilities.,TypeScript,agent_framework,agent_building,Workflow & agent builders,landscape,,yes,keep,Agent Infra,Workflow & agent builders,NOASSERTION,false,2026-07-28T13:52:44Z,ok
63,tracked_pool_top_100_by_openrank_2607,176982014,NVIDIA/Megatron-LM,32.39,17247,337,36,2019-03-21,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,llm_native,high,Training stack created for large transformer language models despite predating ChatGPT.,Python,model_infra,supporting_infrastructure,Pre-Train · Framework & parallel,landscape,,yes,keep,Model Infra,Pre-Train · Framework & parallel,NOASSERTION,false,2026-07-28T14:26:43Z,ok
64,tracked_pool_top_100_by_openrank_2607,1157102282,diegosouzapw/OmniRoute,31.92,51639,418,30,2026-02-13,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Gateway created specifically for routing LLM providers and coding-agent traffic.,TypeScript,model_infra,supporting_infrastructure,Model API gateways,landscape,,yes,add,Model Infra,Model API gateways,MIT,false,2026-08-20T12:49:55Z,ok
65,tracked_pool_top_100_by_openrank_2607,136202695,mlflow/mlflow,31.5,27247,446,22,2018-06-05,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,high,General ML lifecycle platform whose current product now spans models LLM applications and agents.,Python,model_infra,supporting_infrastructure,Pre-Train · Evaluation & observability,landscape,,yes,keep,Model Infra,Pre-Train · Evaluation & observability,Apache-2.0,false,2026-07-28T14:51:00Z,ok
66,tracked_pool_top_100_by_openrank_2607,655515393,CopilotKit/CopilotKit,31.48,36339,202,24,2023-06-19,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Frontend framework created specifically for copilots agents and generative UI.,TypeScript,agent_framework,agent_building,Code-first frameworks,landscape,,yes,keep,Agent Infra,Code-first frameworks,MIT,false,2026-07-28T14:50:24Z,ok
