sample_rank,repo_name,automated_policy_class,has_pull_requests,pull_request_creation_policy,pull_request_creation_access,final_policy_class,gating_scope,manual_review_status,review_note,evidence_url,evidence_context,evidence_grade
36,CherryHQ/cherry-studio,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
37,pingdotgg/t3code,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
38,milvus-io/milvus,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
39,earendil-works/pi,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
40,NVIDIA/cudf,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
41,triton-lang/triton,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
42,zeroclaw-labs/zeroclaw,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
43,docling-project/docling,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
44,datahub-project/datahub,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
45,lobehub/lobehub,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
46,AstrBotDevs/AstrBot,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
47,HKUDS/nanobot,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
48,NVIDIA/Model-Optimizer,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
49,cline/cline,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
50,OpenHands/software-agent-sdk,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
51,agentscope-ai/QwenPaw,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
52,NVIDIA-NeMo/RL,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
53,pydantic/pydantic-ai,gated_candidate,true,ALL,anyone_can_create,conditional_gate,ambiguous bug fixes,manually_reviewed,Well-scoped bugs need no Issue; ambiguous fixes should open one first.,https://github.com/pydantic/pydantic-ai/blob/6aee1c09bd065725ff14f21a15f731b0c3c88e0c/CONTRIBUTING.md,"o issue needed. ### Bug fixes If the fix could reasonably go more than one way, or you're unsure it's actually a bug: open an issue first. Include a minimal reproducible example and ideally a [Logfire trace link](https://logfire.pydantic.dev/) showing the problem. For well-scoped bugs, we may generate a fix internal",B_declared_policy
54,google-gemini/gemini-cli,closed_candidate,true,ALL,anyone_can_create,conditional_restriction,maintainers-only Issues,manually_reviewed,"The rejection applies to Issues explicitly reserved for maintainers, not all external PRs.",https://github.com/google-gemini/gemini-cli/blob/0bd1d439751478771c45d3d0895a6a9760554bf4/CONTRIBUTING.md,"rk on. If an issue is tagged as `🔒Maintainers only`, this means it is reserved for project maintainers. We will not accept pull requests related to these issues. In the near future, we will explicitly mark issues looking for contributions using the `help-wanted` label. If you believe an issue is a good cand",B_declared_policy
55,apache/iceberg,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
56,infiniflow/ragflow,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
57,wandb/wandb,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
58,agno-agi/agno,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
59,Kilo-Org/kilocode,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
60,a2ui-project/a2ui,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
61,omnigent-ai/omnigent,gated_candidate,true,ALL,anyone_can_create,conditional_gate,larger changes,manually_reviewed,Issues and PRs are welcomed; larger changes should be discussed first.,https://github.com/omnigent-ai/omnigent/blob/27967a94bbcc345afd321e816b2e7bc2dd8b1d0a/CONTRIBUTING.md,"to Omnigent Thanks for your interest in improving Omnigent. Issues and pull requests are welcome. For larger changes, open an issue first so we can discuss the approach. Please don't include secrets, internal URLs, customer data, or private configuration in issues, tests, examples, or logs. ## Issue prioritization",B_declared_policy
62,activepieces/activepieces,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
63,NVIDIA/Megatron-LM,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
64,diegosouzapw/OmniRoute,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
65,mlflow/mlflow,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
66,CopilotKit/CopilotKit,gated_candidate,true,ALL,anyone_can_create,issue_first,planned code changes,manually_reviewed,The contribution guide and PR template ask contributors to file an Issue first.,https://github.com/CopilotKit/CopilotKit/blob/b995233a4d897f828be9e22e6f90cb4121d35ac8/.github/PULL_REQUEST_TEMPLATE.md,"helps to make sure the work you're planning isn't already in progress. As described in our contributing guide, please file an issue first: https://github.com/ag-ui-protocol/ag-ui/issues Or, reach out to us on Discord: https://discord.com/invite/6dffbvGU3D You can learn more about contributing to copilotkit here: h",B_declared_policy
67,langfuse/langfuse,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
68,multica-ai/multica,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
69,coze-dev/coze-loop,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
70,IBM/mcp-context-forge,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
71,NVIDIA/OpenShell,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
72,farion1231/cc-switch,gated_candidate,true,ALL,anyone_can_create,conditional_gate,new features,manually_reviewed,New features require an Issue first; this is not a blanket PR closure.,https://github.com/farion1231/cc-switch/blob/3217f72596f2d1c0f879f0a05f83803825d9809f/CONTRIBUTING.md,"&& pnpm test:unit cd src-tauri && cargo fmt --check && cargo clippy && cargo test ``` ## Pull Request Guidelines 1. **Open an issue first** for new features — PRs for features that are not a good fit may be closed. 2. **Fork and branch** — Create a feature branch from `main` (e.g., `feat/my-feature` or `fix/issue-12",B_declared_policy
73,Comfy-Org/ComfyUI,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
74,stablyai/orca,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
75,unslothai/unsloth,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
76,langchain-ai/langchain,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
77,openvinotoolkit/openvino,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
78,microsoft/agent-framework,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
79,comet-ml/opik,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
80,marimo-team/marimo,gated_candidate,true,ALL,anyone_can_create,conditional_gate,substantial changes,manually_reviewed,The guide recommends early consensus before substantial changes.,https://github.com/marimo-team/marimo/blob/1269547a7294a586423001990da1ad4b449a8b36/CONTRIBUTING.md,. Building consensus before making the pull request shows respect. **Early consensus prevents wasted effort.** Seeking approval before implementing a substantial change increases the chance that your work will be merged. ## Setup _Note: We recommend that Windows developers use [WSL](https://learn.microsoft.com/en-us/wind,B_declared_policy
81,weaviate/weaviate,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
82,langflow-ai/langflow,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
83,esengine/DeepSeek-Reasonix,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
84,Arize-ai/phoenix,gated_candidate,true,ALL,anyone_can_create,conditional_gate,non-trivial changes,manually_reviewed,Non-trivial changes should open an Issue first.,https://github.com/Arize-ai/phoenix/blob/c48e50e9906fcc56c1c103ebd93ef3c95ed6b6e7/CONTRIBUTING.md,"s what changed, we are much less likely to review it. ## Issues First If you are thinking about a non-trivial change, open an issue first. That does not guarantee we will want the PR, but it gives us a chance to align before you invest the effort. An open issue is not an invitation to submit a PR. Even if an issue",B_declared_policy
85,apache/hudi,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
86,Significant-Gravitas/AutoGPT,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
87,PaddlePaddle/Paddle,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
88,code-yeongyu/oh-my-openagent,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
89,siyuan-note/siyuan,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
90,verl-project/verl,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
91,huggingface/trl,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
92,eosphoros-ai/DB-GPT,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
93,danny-avila/LibreChat,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
94,apache/gravitino,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
95,charmbracelet/crush,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
96,aaif-goose/goose,gated_candidate,true,ALL,anyone_can_create,conditional_gate,significant architecture changes,manually_reviewed,Significant architectural changes require prior discussion.,https://github.com/aaif-goose/goose/blob/8ae4e4ba02836529790f47109b8785e8b42843a7/GOVERNANCE.md,"ges quickly when there's clear benefit. * Significant architectural changes should have discussion in a GitHub issue or discussion before implementation. * Core Maintainers may step in when disputes arise or when decisions have project-wide impact. ### Dispute Resolution * If Maintainers cannot reach consensus, the matter i",B_declared_policy
97,open-webui/open-webui,gated_candidate,true,ALL,anyone_can_create,issue_first,first-time contributors and non-localization changes,manually_reviewed,The PR template directs first-time contributors to start with an Issue; it does not close all PRs.,https://github.com/open-webui/open-webui/blob/d3e8bf3405e848cfba377814d0aa7ba7290e414d/.github/pull_request_template.md,"delete the CLA section at the bottom. It is required for the bot to accept your PR. --> # Pull Request Checklist ### Do not open a pull request as the first step. For real, reproducible bugs, start with a well-described [Issue](https://github.com/open-webui/open-webui/issues) that explains the problem, why it matters, and what outcome you",B_declared_policy
98,livekit/agents,gated_candidate,true,ALL,anyone_can_create,conditional_gate,new features,manually_reviewed,New features should be discussed for viability and scope before work.,https://github.com/livekit/agents/blob/cdb37ade6f8e80822e6c5ec4e6de457f2dcaf637/CONTRIBUTING.md,"ng pull requests. - **Add new features**: we're open to adding new features to the framework, though we ask that you open an issue first to discuss the viability and scope of the new functionality before starting work. Our continuous integration requires a few additional code quality steps for your pull request",B_declared_policy
99,router-for-me/CLIProxyAPI,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
100,kvcache-ai/Mooncake,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
