section,metric,segment,period,numerator,denominator,rate,unit,source,quality_note
agent_marker_segment,active_instruction,llm_native_manual=llm_native,2026,59,68,0.8676,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_segment,active_instruction,llm_native_manual=mixed,2026,14,14,1.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_segment,active_instruction,llm_native_manual=traditional,2026,13,18,0.7222,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_segment,active_instruction,collaboration_niche=agent_application,2026,24,28,0.8571,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_segment,active_instruction,collaboration_niche=agent_framework,2026,20,21,0.9524,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_segment,active_instruction,collaboration_niche=agent_runtime_infra,2026,14,15,0.9333,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_segment,active_instruction,collaboration_niche=model_infra,2026,28,36,0.7778,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,A marker proves machine-readable repository preparation; it does not prove use in a thread.
agent_marker_tool,active_tool_repository_coverage,cross_agent,2026,80,100,0.8000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 113 evidence rows may include more than one path per repository.
agent_marker_tool,active_tool_repository_coverage,claude_code,2026,71,100,0.7100,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 112 evidence rows may include more than one path per repository.
agent_marker_tool,active_tool_repository_coverage,codex,2026,22,100,0.2200,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 29 evidence rows may include more than one path per repository.
agent_marker_tool,active_tool_repository_coverage,github_copilot,2026,20,100,0.2000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 25 evidence rows may include more than one path per repository.
agent_marker_tool,active_tool_repository_coverage,cursor,2026,17,100,0.1700,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 24 evidence rows may include more than one path per repository.
agent_marker_tool,active_tool_repository_coverage,gemini,2026,12,100,0.1200,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 13 evidence rows may include more than one path per repository.
agent_marker_tool,active_tool_repository_coverage,cline,2026,1,100,0.0100,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-evidence.csv,Repository coverage; 1 evidence rows may include more than one path per repository.
data_quality,pr_author_payload_missing,clickhouse_events,2022,0,76183,0.0000,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Missing author payload cannot be interpreted as Bot.
data_quality,pr_merge_duration_available,clickhouse_events,2022,42940,43205,0.9939,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Current-year merge-time analysis requires GitHub API supplementation.
data_quality,pr_author_payload_missing,clickhouse_events,2023,0,111285,0.0000,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Missing author payload cannot be interpreted as Bot.
data_quality,pr_merge_duration_available,clickhouse_events,2023,65434,65827,0.9940,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Current-year merge-time analysis requires GitHub API supplementation.
data_quality,pr_author_payload_missing,clickhouse_events,2024,0,149928,0.0000,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Missing author payload cannot be interpreted as Bot.
data_quality,pr_merge_duration_available,clickhouse_events,2024,96295,96594,0.9969,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Current-year merge-time analysis requires GitHub API supplementation.
data_quality,pr_author_payload_missing,clickhouse_events,2025,25522,193791,0.1317,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Missing author payload cannot be interpreted as Bot.
data_quality,pr_merge_duration_available,clickhouse_events,2025,89406,130316,0.6861,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Current-year merge-time analysis requires GitHub API supplementation.
data_quality,pr_author_payload_missing,clickhouse_events,2026,62032,87306,0.7105,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Missing author payload cannot be interpreted as Bot.
data_quality,pr_merge_duration_available,clickhouse_events,2026,0,45495,0.0000,pull_requests,insights/260912_open_collaboration_ai/research/collaboration-repository-year-2022-2026.csv,Current-year merge-time analysis requires GitHub API supplementation.
