repo_name,llm_native_manual,llm_native_confidence,llm_native_reason
NVIDIA/Megatron-LM,llm_native,high,Training stack created for large transformer language models despite predating ChatGPT.
diegosouzapw/OmniRoute,llm_native,high,Gateway created specifically for routing LLM providers and coding-agent traffic.
mlflow/mlflow,mixed,high,General ML lifecycle platform whose current product now spans models LLM applications and agents.
CopilotKit/CopilotKit,llm_native,high,Frontend framework created specifically for copilots agents and generative UI.
langfuse/langfuse,llm_native,high,Observability and evaluation platform created for LLM applications.
multica-ai/multica,llm_native,high,Managed platform created specifically to coordinate coding agents.
coze-dev/coze-loop,llm_native,high,Optimization and observability platform created for agent development lifecycles.
IBM/mcp-context-forge,llm_native,high,Gateway and registry created around MCP and agent tool calling.
NVIDIA/OpenShell,llm_native,high,Runtime created specifically for executing autonomous agents safely.
farion1231/cc-switch,llm_native,high,Desktop tool created to manage coding-agent providers skills and configuration.
Comfy-Org/ComfyUI,traditional,medium,Node-based diffusion workflow UI whose core does not depend on language models or software agents.
stablyai/orca,llm_native,high,Development environment created to coordinate fleets of coding agents.
unslothai/unsloth,llm_native,high,Training and local-running stack centered on modern language models.
langchain-ai/langchain,llm_native,high,Framework created around language-model chains and agents despite predating ChatGPT.
openvinotoolkit/openvino,traditional,high,General AI inference optimization toolkit with a broad pre-LLM scope.
microsoft/agent-framework,llm_native,high,Framework created specifically for AI agents and multi-agent workflows.
comet-ml/opik,llm_native,high,Evaluation and observability platform created for LLM and agent workflows.
marimo-team/marimo,mixed,medium,Reactive notebook retains a complete non-LLM workflow while adding an AI-native editor experience.
weaviate/weaviate,traditional,high,Vector database and search engine established well before the LLM application wave.
langflow-ai/langflow,llm_native,high,Visual builder created for LLM applications agents and workflows.
esengine/DeepSeek-Reasonix,llm_native,high,Coding agent designed specifically around DeepSeek models and prompt caching.
Arize-ai/phoenix,mixed,medium,Observability project began near the ChatGPT boundary and expanded from broader ML tracing into LLM and agent evaluation.
apache/hudi,traditional,high,General data-lake storage and incremental processing system independent of LLMs.
Significant-Gravitas/AutoGPT,llm_native,high,Autonomous agent project created as an application of GPT-class models.
PaddlePaddle/Paddle,traditional,high,General deep-learning framework with a mature pre-LLM ecosystem.
code-yeongyu/oh-my-openagent,llm_native,high,Agent harness created for Codex OpenCode and related coding agents.
siyuan-note/siyuan,mixed,high,Knowledge-management application founded before ChatGPT that has since added agentic and MCP capabilities.
verl-project/verl,llm_native,high,Post-training framework created for reinforcement learning on language models.
huggingface/trl,llm_native,high,Library created to train transformer language models with reinforcement learning before ChatGPT.
eosphoros-ai/DB-GPT,llm_native,high,Data assistant and agent framework created around GPT-class language models.
danny-avila/LibreChat,llm_native,high,Self-hosted model chat and agent interface created around ChatGPT-style systems.
apache/gravitino,traditional,high,General federated metadata catalog whose core remains independent of LLMs.
charmbracelet/crush,llm_native,high,Agentic coding tool created around LLMs.
aaif-goose/goose,llm_native,high,Extensible execution agent created around LLM tool use.
open-webui/open-webui,llm_native,high,User interface created to operate local and hosted language models.
livekit/agents,llm_native,high,Framework created specifically for realtime voice and video agents powered by foundation models.
router-for-me/CLIProxyAPI,llm_native,high,API proxy created specifically for coding agents and LLM providers.
kvcache-ai/Mooncake,llm_native,high,Serving platform created for an LLM service and its KV-cache workloads.
